id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
12171,Aves,Charadriiformes,Scolopacidae,Calidris,tenuirostris,,"(Horsfield, 1821)",Great knot,"Northern beaches in Roebuck Bay, Western Australia",Australia,Oceania,-17.959057,122.250266,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,16018.5185,11111.1111,15277.7778,13148.1481,11296.2963,16388.8889,12777.7778,NA,NA,NA,NA,NA,NA
12172,Aves,Charadriiformes,Scolopacidae,Calidris,tenuirostris,,"(Horsfield, 1821)",Great knot,"Bush Point, Roebuck Bay, Western Australia",Australia,Oceania,-18.211089,122.21632,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13239.4366,11126.7606,7183.0986,6126.7606,8380.2817,NA,NA,NA,NA,NA,NA
12174,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,,"(Linnaeus, 1758)",Red knot,"Eighty Mile Beach, Western Australia",Australia,Oceania,-19.620922,120.984135,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct counts were made in the two hours before, and the two hours after, the peak of high tide using binoculars and tripod- or window-mounted telescopes. Where two counts were carried out between the end of October and mid-December, an average was taken.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11407.767,10728.1553,2184.466,11699.0291,18592.233,NA,NA,NA
12178,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,,"(Linnaeus, 1758)",Red knot,"Northern beaches in Roebuck Bay, Western Australia",Australia,Oceania,-17.959057,122.250266,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1888.8889,833.3333,1097.2222,1347.2222,1222.2222,1069.4444,1222.2222,2805.5556,NA,NA,NA,NA,NA,NA
12181,Aves,Charadriiformes,Scolopacidae,Calidris,ruficollis,,"(Pallas, 1776)",Red-necked stint,"Eighty Mile Beach, Western Australia",Australia,Oceania,-19.620922,120.984135,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct counts were made in the two hours before, and the two hours after, the peak of high tide using binoculars and tripod- or window-mounted telescopes. Where two counts were carried out between the end of October and mid-December, an average was taken.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20552.1472,22085.8896,11656.4417,26625.7669,22699.3865,NA,NA,NA
12182,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,,"(Linnaeus, 1758)",Red knot,"Bush Point, Roebuck Bay, Western Australia",Australia,Oceania,-18.211089,122.21632,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,887.5,939.0625,329.6875,807.8125,217.1875,NA,NA,NA,NA,NA,NA
12269,Aves,Charadriiformes,Scolopacidae,Calidris,acuminata,,"(Horsfield, 1821)",Sharp-tailed sandpiper,"Cape Portland, north-east Tasmania",Australia,Oceania,-40.753611,147.995,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Maximum summer count,One survey count on foot per month between 1975 and 2011,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,45,6,130,16,22,50,50,80,64,47,2,51,56,40,35,23,28,42,25,40,10,9,111,28,80,140,6,64,35,67,0,NA,NA,NA
12290,Aves,Charadriiformes,Scolopacidae,Calidris,ruficollis,,"(Pallas, 1776)",Red-necked stint,"Cape Portland, north-east Tasmania ",Australia,Oceania,-40.753611,147.995,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Maximum summer count,Standardised monthly survey transects between 1981-2011,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,1292,1914,1095,2105,1612,2074,1120,1422,1495,1200,837,1889,548,1003,622,1262,1385,1071,892,1723,978,NA,1772,1305,1378,948,375,1169,1145,1311,425,NA,NA,NA
12323,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,"(Linnaeus, 1758)",Ruddy turnstone,Numerous coastal locations in New Zealand,New Zealand,Oceania,-42,174,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Estimated number of individuals,Count surveys carried out by the Ornithological Society of New Zealand in summer (usually November) of 1994-2003. Exact method not specified but method was consistent across sites. Coverage of sites across years, however, was uneven, so missing counts were replaced with site averages and yearly population estimates were then calculated by using counts from all sites.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3302,2618,2198,2605,2643,2319,2015,2525,2501,2314,NA,NA,NA,NA,NA,NA,NA,NA
12325,Aves,Charadriiformes,Scolopacidae,Limosa,lapponica,,"(Linnaeus, 1758)",Bar-tailed godwit,Numerous coastal locations in New Zealand,New Zealand,Oceania,-42,174,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Estimated number of individuals,Count surveys carried out by the Ornithological Society of New Zealand in summer (usually November) of 1994-2003. Exact method not specified but method was consistent across sites. Coverage of sites across years, however, was uneven, so missing counts were replaced with site averages and yearly population estimates were then calculated by using counts from all sites.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105560,104296,97552,94053,98912,94609,97760,92062,85271,83001,NA,NA,NA,NA,NA,NA,NA,NA
12329,Aves,Charadriiformes,Scolopacidae,Calidris,ruficollis,,"(Pallas, 1776)",Red-necked stint,Numerous coastal locations in New Zealand,New Zealand,Oceania,-42,174,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Estimated number of individuals,Count surveys carried out by the Ornithological Society of New Zealand in summer (usually November) of 1994-2003. Exact method not specified but method was consistent across sites. Coverage of sites across years, however, was uneven, so missing counts were replaced with site averages and yearly population estimates were then calculated by using counts from all sites.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,137,138,146,180,131,184,184,169,136,NA,NA,NA,NA,NA,NA,NA,NA
12364,Aves,Charadriiformes,Scolopacidae,Calidris,ferruginea,,(Pontoppidan 1763),Curlew sandpiper,"Cape Portland, north-east Tasmania",Australia,Oceania,-40.753611,147.995,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Maximum number of individuals during summer count,Shorebird surveys were undertaken at least once during the summer months (November - February) of 1981-2011. Surverys were conducted by the same two or three observers each year. Grassy flats along the same eleven kilometres of road were scanned for birds, using 10x binoculars and a 20x spotting scope.,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,79,1550,821,350,2000,1425,288,1100,658,800,1029,33,62,221,46,279,554,229,75,0,950,96,308,96,396,17,200,112,100,71,NA,NA
12382,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,"(Linnaeus, 1758)",Ruddy turnstone,"Cape Portland, north-east Tasmania",Australia,Oceania,-40.753611,147.995,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Maximum number of individuals during summer count,Shorebird surveys were undertaken at least once during the summer months (November - February) of 1981-2011. Surveys were conducted by the same two or three observers each year. Grassy flats along the same eleven kilometres of road were scanned for birds, using 10x binoculars and a 20x spotting scope.,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,65,107,171,101,146,112,243,103,67,142,289,131,135,102,174,103,91,97,87,87,65,95,77,34,55,50,50,30,21,50,NA,NA
12395,Aves,Charadriiformes,Scolopacidae,Limosa,lapponica,,"(Linnaeus, 1758)",Bar-tailed godwit,"Kaipara Harbour, Manukau Harbour, Firth of Thames (North Island), and Farewell Spit (South Island)",New Zealand,Oceania,-40.915588,175.42099,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Total number of individuals,Direct counts on an informal basis until 2003, since then an official project of the Ornithological Society of New Zealand. Counts are maximam totals of censuses conducted in November/December at Kaipara, Manukau and Firth of Thames, and in November or February at Farewell Spit.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62857,62719,NA,52903,60783,51244,51382,54009,53180,43364,45438,39631,NA,NA,NA,NA,NA,NA
12396,Aves,Charadriiformes,Scolopacidae,Limosa,lapponica,,"(Linnaeus, 1758)",Bar-tailed godwit,"200km of coast between Airlie Beach and Cape Palmerston, Mackay region, Queensland",Australia,Oceania,-20.918152,149.007883,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,QWSG members survey counts at coastal locations between Airlie Beach and Cape Palmerston,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,1530,NA,NA,NA,3324,4343,NA,3188,NA,NA,NA,NA
12399,Aves,Charadriiformes,Scolopacidae,Calidris,acuminata,,"(Horsfield, 1821)",Sharp-tailed sandpiper,Numerous coastal locations in New Zealand,New Zealand,Oceania,-42,174,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Estimated number of individuals,Count surveys carried out by the Ornithological Society of New Zealand in summer (usually November) of 1994-2003. Exact method not specified but method was consistent across sites. Coverage of sites across years, however, was uneven, so missing counts were replaced with site averages and yearly population estimates were then calculated by using counts from all sites.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,17,18,18,20,15,16,45,31,25,NA,NA,NA,NA,NA,NA,NA,NA
12478,Aves,Charadriiformes,Scolopacidae,Calidris,ruficollis,,"(Pallas, 1776)",Red-necked stint,"Bush Point, Roebuck Bay, Western Australia",Australia,Oceania,-18.211089,122.21632,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10928.1437,9670.6587,4401.1976,4940.1198,14670.6587,NA,NA,NA,NA,NA,NA
12479,Aves,Charadriiformes,Scolopacidae,Calidris,ruficollis,,"(Pallas, 1776)",Red-necked stint,"Northern beaches in Roebuck Bay, Western Australia",Australia,Oceania,-17.959057,122.250266,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3721.2121,4896.9697,3915.1515,4957.5758,5151.5152,4412.1212,3987.8788,4327.2727,NA,NA,NA,NA,NA,NA
12480,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,"(Linnaeus, 1758)",Grey plover,"Eighty Mile Beach, Western Australia",Australia,Oceania,-19.620922,120.984135,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in the two hours before, and the two hours after, the peak of high tide using binoculars and tripod- or window-mounted telescopes. Where two counts were carried out between the end of October and mid-December, an average was taken.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819.375,703.125,714.375,650.625,476.25,NA,NA,NA
12481,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,"(Linnaeus, 1758)",Grey plover,"Bush Point, Roebuck Bay, Western Australia",Australia,Oceania,-18.211089,122.21632,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.9207,274.4893,477.4648,323.6307,331.2978,NA,NA,NA,NA,NA,NA
12482,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,"(Linnaeus, 1758)",Grey plover,"Northern beaches in Roebuck Bay, Western Australia",Australia,Oceania,-17.959057,122.250266,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescope,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.4492,208.0214,79.6791,118.1818,289.3048,460.4278,133.1551,145.9893,NA,NA,NA,NA,NA,NA
12483,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,"(Linnaeus, 1758)",Ruddy turnstone,"Eighty Mile Beach, Western Australia",Australia,Oceania,-19.620922,120.984135,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in the two hours before, and the two hours after, the peak of high tide using binoculars and tripod- or window-mounted telescopes. Where two counts were carried out between the end of October and mid-December, an average was taken.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.9223,211.658,133.9378,150,148.9637,NA,NA,NA
12484,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,"(Linnaeus, 1758)",Ruddy turnstone,"Bush Point, Roebuck Bay, Western Australia",Australia,Oceania,-18.211089,122.21632,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.9215,736.6421,1080.533,384.7346,270.6129,NA,NA,NA,NA,NA,NA
12485,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,"(Linnaeus, 1758)",Ruddy turnstone,"Northern beaches in Roebuck Bay, Western Australia",Australia,Oceania,-17.959057,122.250266,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Direct ground counts were made in late October to early December at intermediate high tide using binoculars and tripod- or window-mounted telescopes,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.5258,113.4021,386.5979,360.8247,432.9897,334.0206,344.3299,349.4845,NA,NA,NA,NA,NA,NA
12486,Aves,Charadriiformes,Scolopacidae,Calidris,ruficollis,,"(Pallas, 1776)",Red-necked stint,"200km of coast between Airlie Beach and Cape Palmerston, Mackay region, Queensland",Australia,Oceania,-20.918152,149.007883,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,QWSG members survey counts at coastal locations between Airlie Beach and Cape Palmerston,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,NA,3692,1676,NA,1467,NA,NA,NA,NA
12487,Aves,Charadriiformes,Scolopacidae,Calidris,acuminata,,"(Horsfield, 1821)",Sharp-tailed sandpiper,"200km of coast between Airlie Beach and Cape Palmerston, Mackay region, Queensland",Australia,Oceania,-20.918152,149.007883,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,QWSG members survey counts at coastal locations between Airlie Beach and Cape Palmerston,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,NA,NA,NA,497,261,NA,123,NA,NA,NA,NA
14843,Actinopteri,Perciformes,Nototheniidae,Dissostichus,eleginoides,,Smitt 1898,Patagonian toothfish,Macquarie Island,Australia,Oceania,-54.63677,158.770619,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of individuals (millions),Catch, release and recapture available (fishable) abundance estimate using a semi-parametric model,No,,,NA,NA,NA,3708.59,3708.59,3708.59,3708.59,3708.59,3708.59,3708.59,3708.59,3708.59,3708.57,3708.13,3705.29,3695.88,3676.13,3646.32,3611.86,3580.82,3558.47,3542.82,3525.77,3371.45,3025.76,2777.52,2610.47,2482.38,2372.39,2270.32,2186.63,2115.72,2023.43,1991.71,1965.7,1964.96,1971.79,1966.71,2004.41,NA,NA,NA
14893,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,nigrofuscus,,(Forsskål 1775),Brown surgeonfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,1.75,1.96,2.23,2.59,3.06,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14894,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,dussumieri,,Valenciennes 1835,Eyestripe surgeonfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,1.73,1.57,1.38,1.16,0.89,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14895,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,citrinellus,,Cuvier 1831,Speckled butterflyfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.94,1.03,1.21,1.49,1.85,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14896,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,kleinii,,Bloch 1790,Sunburst butterflyfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.91,1.38,1.8,2.16,2.45,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14897,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,plebeius,,Cuvier 1831,Blueblotch butterflyfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.68,0.89,1.13,1.39,1.65,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14901,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,rainfordi,,McCulloch 1923,Rainford's butterflyfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.51,0.84,1.2,1.64,2.13,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14902,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,trifascialis,,Quoy & Gaimard 1825,Chevron butterflyfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.83,1.55,2.31,3.13,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14903,Actinopteri,Perciformes,Scaridae,Scarus,chameleon,,Choat & Randall 1986,Chameleon parrotfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.94,1.21,1.32,1.3,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14905,Actinopteri,Perciformes,Scaridae,Scarus,globiceps,,Valenciennes 1840,Globehead parrotfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,0.88,0.71,0.8,1.18,1.82,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14906,Actinopteri,Perciformes,Scaridae,Scarus,psittacus,,Forsskål 1775,Common parrotfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,1.29,1.66,1.97,2.17,2.31,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14907,Actinopteri,Perciformes,Labridae,Gomphosus,varius,,Lacepède 1801,Bird wrasse,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.46,0.71,1.04,1.44,1.93,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14908,Actinopteri,Perciformes,Labridae,Halichoeres,hortulanus,,(Lacepède 1801),Checkerboard wrasse,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.47,0.48,0.51,0.57,0.63,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14909,Actinopteri,Perciformes,Labridae,Hemigymnus,fasciatus,,(Bloch 1792),Barred thicklip,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.19,0.33,0.5,0.73,0.97,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14910,Actinopteri,Perciformes,Pomacentridae,Pomacentrus,bankanensis,,Bleeker 1854,Speckled damselfish,"Capricorn Bunker sector, Great Barrier Reef",Australia,Oceania,-23.387282,152.010056,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Abundance (log5),Visual survey counts at transects 5-10m apart up to 12m deep,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,2.22,2.81,3.22,3.39,3.34,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
